Timestamp,"Birthday (MM/DD/YYYY)

i.e. 01/14/2001","Height (Answer in Inches Please)

i.e. 60 inches = 5'0",Sex,Coffee or Tea?,Early Bird or Night Owl,"What is your current state of residence? Please answer in abbreviations.

i.e. NJ, MD, PA, NY, CA, etc.",How long have you stayed in this state? Answer in years and can be in decimals!,Which county are you from? COUNTY not country,"What state have you lived in the longest? Write down that state(s) in abbreviation. Otherwise, write N/A","If so, how long? Write N/A if you answered ""N/A""",What do you call the action shown in the picture above?
11/22/2022 21:36:28,09/18/2001,64,Female,Coffee,Night Owl,MD,21,Montgomery County ,N/A,N/A,Airsip
11/22/2022 21:37:52,04/30/2001,69,Male,Neither,Night Owl,MD,21.75,Anne Arundel,N/A,N/A,Waterfall
11/22/2022 21:38:45,06/03/2003,63,Female,Tea,Night Owl,MD,18,China,N/A,N/A,Waterfall
11/22/2022 21:39:40,05/26/2002,64,Female,Coffee,Early Bird,MD,17.5,Montgomery,NE,3,Airsip
11/22/2022 21:40:28,07/25/2002,63,Female,Coffee,Night Owl,MD,20,Montgomery ,N/A,N/A,Airsip
11/22/2022 21:41:57,07/20/2002,66,Female,Tea,Early Bird,TX,20,Collin,N/A,N/A,Waterfall
11/22/2022 21:42:08,08/02/2002,70,Male,Coffee,Night Owl,NJ,4,Middlesex,"New York, Massachussets, California","3, 7, 3, 4",Waterfall
11/22/2022 21:42:14,03/12/2001,64,Female,Neither,Early Bird,MD,20,Wicomico,N/A,N/A,Waterfall
11/22/2022 21:42:42,01/07/2001,70,Male,Tea,Night Owl,MD,17.5,Here,My mom,9 months,Waterfall
11/22/2022 21:45:44,04/02/2001,61,Female,Tea,Night Owl,MD,21,Prince George's County,N/A,N/A,Waterfall
11/22/2022 21:47:16,01/15/1985,69,Male,Coffee,Night Owl,NJ,29,Morris,"MD,PA,NY,VT","8,2.5,4,1",Waterfall
11/22/2022 21:47:35,12/29/2003,68,Male,Neither,Night Owl,MD,18.8,US,N/A,N/A,Airsip
11/22/2022 21:47:48,04/27/2001,62,Female,Coffee,Night Owl,MD,18,Wicomico,N/A,N/A,Waterfall
11/22/2022 21:48:52,01/15/2002,71,Male,Coffee,Early Bird,MD,20.9,Montgomery,N/A,N/A,Airsip
11/22/2022 21:50:53,09/20/2001,72,Male,Tea,Night Owl,MD,21,America,N/A,N/A,Waterfall
11/22/2022 21:53:07,06/07/2003,65,Male,Coffee,Night Owl,VA,14,Fairfax,PA,2,Waterfall
11/22/2022 21:53:47,11/01/2001,64,Female,Tea,Night Owl,MD,3,China,"IA, KS, LA, CO","6, 1, 6, 1 ",Waterfall
11/22/2022 22:13:51,11/29/2002,66,Female,Tea,Night Owl,MD,20,Howard County,N/A,N/A,Waterfall
11/22/2022 22:16:27,07/06/2003,66,Female,Tea,Night Owl,MD,14,United States,PA,5 yrs,Airsip
11/22/2022 22:23:52,11/14/2001,67,Female,Tea,Night Owl,MD,1.5,Montgomery County,N/A,N/A,Waterfall
11/22/2022 22:27:36,06/16/2001,71,Male,Tea,Night Owl,MD,21,Baltimore City,N/A,N/A,Waterfall
11/22/2022 22:30:10,09/04/2001,71,Male,Coffee,Night Owl,MD,21,Montgomery County,N/A,N/A,Airsip
11/22/2022 22:37:08,10/31/2000,61,Female,Coffee,Night Owl,MD,22,Montgomery County,N/A,N/A,Airsip
11/22/2022 22:53:46,01/07/2003,69,Female,Coffee,Night Owl,MD,19.8,Montgomery County,N/A,N/A,Airsip
11/22/2022 23:12:03,07/10/2001,66,Male,Tea,Night Owl,MD,21,St. Mary's,NY,<1,Waterfall
11/22/2022 23:27:53,09/26/2001,62,Female,Tea,Early Bird,VA,18,United States,N/A,N/A,Waterfall
11/22/2022 23:34:01,05/30/2002,63,Female,Tea,Night Owl,MD,20,USA,N/A,N/A,Airsip
11/22/2022 23:52:10,10/28/2001,63,Female,Coffee,Night Owl,VA,12,Loudoun County,GA,10,Airsip
11/23/2022 0:16:56,10/05/2001,62,Female,Coffee,Night Owl,MD,18,Montgomery County,CA,3,Airsip
11/23/2022 0:20:06,08/23/2003,70,Male,Coffee,Night Owl,MD,1.25,Wood,OH,18,Waterfall
11/23/2022 0:26:14,07/13/2002,66,Male,Neither,Night Owl,IL,1.5,Champaign ,"NJ, IN, MI","4, 11, 3",Waterfall
11/23/2022 0:30:09,09/20/2001,64,Male,Tea,Night Owl,IL,5,Champaign,N/A,N/A,Waterfall
11/23/2022 0:30:24,12/11/2000,60,Female,Tea,Night Owl,MD,21,Montgomery county ,N/a,N/a,Airsip
11/23/2022 0:33:11,08/29/2002,66.5,Male,Neither,Night Owl,IL,20.25,USA,N/A,N/A,Waterfall
11/23/2022 0:35:07,09/08/2002,57,Male,Neither,Night Owl,VA,9,Fairfax ,"FL, OH","9, 1",Waterfall
11/23/2022 0:46:31,08/19/2003,69,Female,Coffee,Night Owl,TX,19.25,Collin County,N/A,N/A,Waterfall
11/23/2022 0:48:11,05/16/2002,72,Male,Tea,Night Owl,Tx,20.5,Colin,N/a,N/a,Waterfall
11/23/2022 0:49:25,03/14/2002,70,Male,Tea,Night Owl,MD,20.70958904,Montgomery County,N/A,N/A,Airsip
11/23/2022 0:51:22,07/31/2002,61,Female,Coffee,Night Owl,IL,1.5,LA county,"CA, MA","15, 3",Waterfall
11/23/2022 0:55:28,07/31/2002,61,Female,Coffee,Night Owl,IL,1.5,LA County,"CA, MA","15, 3",Waterfall
11/23/2022 0:57:03,09/18/2002,69,Male,Tea,Early Bird,WA,10,China,N/A,N/A,Waterfall
11/23/2022 0:59:31,03/08/2000,67,Male,Coffee,Night Owl,MD,13,Montgomery,CA,2 years,gluck gluck 3000
11/23/2022 1:04:31,03/28/2002,68,Male,Coffee,Night Owl,MD,20,Montgomery,N/A,N/A,Airsip
11/23/2022 1:09:41,11/01/2000,69,Male,Tea,Night Owl,TX,22,USA,N/A,N/A,Waterfall
11/23/2022 1:14:14,12/29/1995,64,Female,Tea,Night Owl,KS,26,US,N/A,N/A,No term for this
11/23/2022 8:15:09,09/12/2000,65,Female,Coffee,Night Owl,CA,22,LA,n/a,n/a,Waterfall
11/23/2022 8:24:35,05/08/2002,68,Male,Coffee,Night Owl,PA,19,Bucks County," CA, IL","8 months, 3 months",Waterfall
11/23/2022 8:39:43,03/18/2003,65,Female,Coffee,Night Owl,MD,20,USA,no,n/a,Airsip
11/23/2022 9:07:42,04/07/2003,60,Female,Tea,Night Owl,NJ,10,Middlesex,N/A,N/A,Airsip
11/23/2022 9:53:32,01/14/2001,66,Male,Tea,Night Owl,MD,16,USA,MI,5,Airsip
11/23/2022 13:08:55,05/18/2003,61,Female,Tea,Night Owl,MD,19,Montgomery,N/A,N/A,Airsip
11/23/2022 14:11:30,06/04/1989,70,yes please,Tea,Night Owl,MD,0.4,Montgomery,N/A,N/A,Airsip
11/23/2022 14:37:20,04/16/2000,66,Male,Neither,Night Owl,MD,10,Thailand,N/A,N/A,Airsip
11/23/2022 15:56:51,08/19/2003,67,Female,Coffee,Night Owl,MD,18.5,Frederick,NJ,0.5,Airsip
11/23/2022 16:13:51,08/20/2002,61,Female,Coffee,Night Owl,MD,20,USA,N/A,N/A,Airsip
11/23/2022 17:59:48,10/16/2001,65,Female,Coffee,Night Owl,CA,21,Alameda County,MD,2 years,Waterfall
11/23/2022 18:37:41,02/13/2003,65,non-binary ,Tea,Night Owl,PA,18,USA,MD,1 year ,Waterfall
11/23/2022 19:51:03,04/01/2001,61,Female,Tea,Night Owl,MD,21,Montgomery,N/A,N/A,Airsip
11/23/2022 20:25:09,10/01/2001,69,Male,Tea,Early Bird,IL,1.5,Taiwan 🇹🇼 ,N/A,N/A,No term for this
11/23/2022 20:40:05,02/05/2000,59,Female,Neither,Early Bird,MD,22,Montgomery,N/A,N/A,Airsip
11/23/2022 21:40:17,08/20/2003,60,Female,Tea,Early Bird,CA,19,USA,N/A,N/A,Waterfall
11/23/2022 21:43:35,08/20/2003,60,Female,Tea,Early Bird,CA,19,Alameda,N/A (Please delete my previous response!),N/A (I misread county :3),Waterfall
11/23/2022 21:48:43,04/06/2003,60,Female,Tea,Night Owl,CA,19,Alameda County ,N/A,N/A,Waterfall
11/23/2022 21:56:01,09/18/2003,60,Female,Neither,Night Owl,CA,6,Canada ,Texas,4,Waterfall
11/23/2022 22:50:56,08/27/2003,63,Female,Tea,Night Owl,CA,19,Alameda,N/A,N/A,Waterfall
11/24/2022 15:46:56,08/03/2001,68,Male,Neither,Night Owl,CA,21,Placer,NV,2.5,Waterfall
11/24/2022 15:53:49,07/27/2000,73,Male,Tea,Night Owl,NV,1.5,Washoe,California,21 years,Birdie
11/24/2022 15:55:18,10/05/1994,75,Male,Coffee,Early Bird,ca,28,us,no,na,Waterfall
11/24/2022 15:56:32,09/21/1999,76,Male,Coffee,Night Owl,CA,1.5,USA,"NE, CO, NM, MO","NE 5, CO 3, NM 4, MO 1",Waterfall
11/24/2022 16:00:53,01/14/2002,70,Male,Tea,Night Owl,NE,20,Sarpy,N/A,N/A,Waterfall
11/24/2022 16:04:40,07/03/2001,74,Male,Coffee,Night Owl,NV,20,Clark,N/A,N/A,Waterfall
11/24/2022 16:05:46,05/21/1982,71,Male,Coffee,Early Bird,NV,4,"Shiawassee, MI","MI, CA","24, 13",No term for this
11/24/2022 16:09:21,04/02/1999,65,Female,Neither,Night Owl,Nv,23,Usa,No,N/a,Waterfall
11/24/2022 16:14:08,10/05/1999,61,Female,Tea,Night Owl,NH,0.25,USA,FL,22,Waterfall
11/24/2022 16:21:24,10/30/1994,66,Female,Tea,Night Owl,NV,5.5,Washoe,CA,22.5,Waterfall
11/24/2022 16:21:56,07/31/2000,70,Male,Coffee,Early Bird,NV,22,Washoe,N/A,N/A,Waterfall
11/24/2022 16:48:19,01/12/2002,71,Male,Neither,Night Owl,NH,20,Rockingham,N/A,N/A,Waterfall
11/24/2022 16:54:43,08/02/2001,75,Male,Coffee,Night Owl,NV,21,United States,N/A,N/A,Waterfall
11/24/2022 17:02:19,06/13/2003,75,Male,Tea,Night Owl,NV,7,Washoe,N/A,N/A,Waterfall
11/24/2022 17:25:19,09/21/1999,70,Male,Neither,Early Bird,NH,23,USA,N/A,N/A,Waterfall
11/24/2022 17:35:36,12/07/2003,76,Male,Coffee,Night Owl,NV,18,United States of America,N/A,N/A,Waterfall
11/24/2022 18:10:17,05/06/1992,67,Female,Coffee,Early Bird,NV,4.5,Douglas,"CO, DC, VA, MD, RI","18 years, 4 years, 2 years, 4 months, 2 years",Waterfall
11/24/2022 18:21:36,08/04/2003,76,Male,Tea,Night Owl,CA,19,United States of America,N/A,N/A,Waterfall
11/24/2022 18:31:11,08/04/2002,71,Female,Neither,Night Owl,NV,16,US,CA,4 years,Waterfall
11/24/2022 18:45:06,10/02/2001,69,Male,Tea,Early Bird,NC,1,US,NH,20 years,Waterfall
11/24/2022 18:47:21,06/27/2002,66,Female,Tea,Early Bird,NV,20,Clark,N/A,N/A,Waterfall
11/24/2022 18:47:43,07/17/2004,65,Male,Neither,Night Owl,NV,0.25,United States,CA,4,Waterfall
11/24/2022 18:54:34,10/15/2000,74,Male,Coffee,Early Bird,Nv,4,USA ,Ca,18,Waterfall
11/24/2022 19:00:44,03/12/2004,67,Male,Neither,Night Owl,NH,18,Belknap,N/A,N/A,Waterfall
11/24/2022 19:06:11,11/17/1998,68,Male,Neither,Early Bird,NV,6,Napa,Ca,18,Waterfall
11/24/2022 19:14:40,03/11/1983,64,Female,Tea,Early Bird,NV,0.3,Washoe,"CA, TX","36, 3",Birdie Sip
11/24/2022 19:18:35,04/11/2001,59,Female,Neither,Night Owl,NV,1.5,Washoe,CA,20,Waterfall
11/24/2022 19:30:48,12/27/2001,66,Male,Tea,Night Owl,NH,20,Strafford,CA,3 months,Waterfall
11/24/2022 20:24:33,01/09/2004,63,Female,Coffee,Early Bird,NV,8,Clark,NY,10,Waterfall
11/24/2022 20:52:09,08/28/2001,62,Female,Coffee,Early Bird,NV,3,United States ,"CA, HI","16, 2",Waterfall
11/24/2022 20:54:34,01/02/1999,68,Male,Coffee,Night Owl,NV,5,USA,CA,17,Waterfall
11/24/2022 21:16:09,12/18/1997,69,Female,Tea,Night Owl,NV,14,Elko,"WA, NY, OH",N/a,Waterfall
11/24/2022 21:25:34,07/25/1984,61,Female,Coffee,Early Bird,NH,20,United States,NJ,18,No term for this
11/24/2022 21:26:02,07/23/2001,75,Male,Coffee,Night Owl,NJ,21.3,Camden,N/A,N/A,Waterfall
11/24/2022 21:27:41,02/29/2004,72,Male,Coffee,Early Bird,MA,18,Essex,N/A,N/A,Waterfall
11/24/2022 22:31:24,12/27/2003,68,Male,Coffee,Night Owl,NH,16,USA,N/a,N/a,Waterfall
11/24/2022 23:18:51,08/11/2000,62,Female,Neither,Night Owl,NH,22,Strafford ,N/A,N/A,Waterfall
11/25/2022 1:37:55,02/11/1999,65,Male,Coffee,Night Owl,MA,19,Norfolk,"NH,ME,TX,OK","1,1,1,1","Sky ""Let me sky that"""
11/25/2022 6:08:54,06/06/1999,69,Male,Neither,Early Bird,NH,4,Merrimack,"MN, TX","14, 4",Waterfall
11/25/2022 7:45:05,06/07/1999,76,Male,Tea,Night Owl,NH,23,Strafford,N/A,N/A,Waterfall
11/25/2022 12:16:17,05/26/2002,71,Male,Coffee,Night Owl,MA,2,No clue,MD,5,Airsip
11/25/2022 12:17:36,09/07/2001,61,Female,Neither,Night Owl,MD,12,United States,N/A,N/A,Waterfall
11/25/2022 12:19:21,07/29/2002,59,Female,Neither,Night Owl,MD,20,United States of America,N/A,N/A,Airsip
11/25/2022 12:28:44,05/01/2002,63,Female,Tea,Night Owl,VA,13.2,United States,"CA, MD","6, 1",Waterfall
11/25/2022 13:21:14,01/23/2003,63,Female,Coffee,Night Owl,NJ,19,Camden,N/A,N/A,Fountain
11/25/2022 13:54:41,02/24/2002,66,Male,Tea,Night Owl,IL,14,Cook,MI,6,Waterfall
11/25/2022 15:12:23,02/28/2002,63,Female,Coffee,Early Bird,MD,6.5,Montgomery County,"Japan, Taiwan, Indonesia, Japan, MD","2, 4, 5, 3, 6.5",Waterfall
11/25/2022 15:14:04,11/28/2001,60,Female,Tea,Night Owl,MD,7,US ,"TX, CA, VA ","7,2,3",Airsip
11/25/2022 19:58:05,08/31/2000,63,Female,Tea,Night Owl,MD,22,Montgomery County,N/A,N/A,No term for this
11/25/2022 20:06:16,07/17/1999,64,Female,Tea,Night Owl,VA,1,Arlington ,MD,22,Waterfall
11/25/2022 20:06:45,08/12/1999,72,Male,Coffee,Early Bird,VA,1,Arlington County,MD,22,Waterfall
11/25/2022 20:07:06,10/18/2001,64,Female,Coffee,Night Owl,NJ,8,India,MD,4,Airsip
11/25/2022 20:07:29,02/01/2003,64,Female,Tea,Early Bird,MD,13,Anne Arundel,Not a state but South Korea,3 years,Waterfall
11/25/2022 20:11:13,03/25/2002,70,Male,Tea,Early Bird,PA,2.5,Venezuela ,NJ,18,Waterfall
11/25/2022 20:11:35,10/25/2001,70,Male,Tea,Night Owl,MD,20,Montgomery County,N/A,N/A,Airsip
11/25/2022 20:13:05,07/01/2004,72,Male,Coffee,Night Owl,NJ,18.4,Camden,N/A,N/A,Waterfall
11/25/2022 20:21:44,09/21/2002,65,Female,Tea,Night Owl,MD,20,USA,N/A,N/A,Airsip
11/25/2022 20:23:14,12/29/1994,83,Male,Tea,Night Owl,NJ,1.4,India,PA,2,No term for this
11/25/2022 20:26:50,04/12/2003,63,Female,Coffee,Night Owl,MD,19,USA BABYYY :/,N/A,N/A,Airsip
11/25/2022 20:36:33,05/05/2000,64,Female,Coffee,Night Owl,MD,22,Montgomery County,N/A,N/A,Airsip
11/25/2022 20:37:05,08/14/2001,64,Female,Tea,Night Owl,MD,21,US,no,na,Airsip
11/25/2022 20:51:15,01/09/2002,71,Male,Neither,Night Owl,PA,20,Chester,MD,School year,Waterfall
11/25/2022 20:52:09,03/20/2002,68,Female,Tea,Night Owl,MD,18,USA,NY,2,Airdrink 🙃
11/25/2022 21:23:31,05/26/2002,64,Female,Neither,Night Owl,MD,20.5,Howard County,N/A,N/A,Waterfall
11/25/2022 21:33:54,02/06/2003,61,Female,Coffee,Night Owl,PA,0.6,Northampton,NJ,19.6,Airsip
11/25/2022 22:09:35,12/04/2002,67,Female,Tea,Night Owl,NJ,6,Somerset,"WA, GA","8, 2",Airsip
11/25/2022 22:14:29,09/15/2000,75,Male,Coffee,Night Owl,MD,14,Howard,MI,7,Waterfall
11/25/2022 23:03:41,12/02/2002,62.5,Female,Tea,Night Owl,MD,12,Montgomery,CA,8,Airsip
11/25/2022 23:18:41,07/12/2003,63,Female,Tea,Night Owl,MD,18,Howard County ,IL,1 year,Waterfall
11/25/2022 23:27:30,09/22/2006,61,Female,Tea,Night Owl,NJ,16,USA,N/A,N/A,Waterfall
11/25/2022 23:37:52,04/12/2003,65,Female,Tea,Night Owl,MD,19.5,Howard County,N/A,N/A,Waterfall
11/25/2022 23:58:14,06/19/2002,68,Female,Tea,Night Owl,NJ,20,USA,NY,1 year,Waterfall
11/26/2022 0:29:42,03/06/2002,63,Female,Coffee,Night Owl,MD,8.5,US,CT,12,Airsip
11/26/2022 0:47:15,12/28/1999,64,Female,Tea,Night Owl,MD,21,St. Mary’s,WA,2,Waterfall
11/26/2022 0:56:12,07/18/2002,65,Male,Neither,Night Owl,MD,13,Philippines ,N/A,N/A,Waterfall
11/26/2022 1:04:22,01/02/2005,60,Female,Tea,Night Owl,NJ,17,USA,N/A,N/A,Waterfall
11/26/2022 1:08:06,03/07/2002,66,Female,Tea,Night Owl,MD,20.65,US,N/A,N/A,Waterfall
11/26/2022 3:13:36,12/17/2001,65,Female,Tea,Night Owl,MD,16,"Howard county, Md","MO, NJ, TN","2, .5, 1.5",Waterfall
11/26/2022 8:15:16,06/28/2001,62,Female,Tea,Night Owl,MD,18.5,Howard,"Ireland, Finland","1 year, 8 months",Waterfall
11/26/2022 8:20:30,07/10/2006,63,Female,Coffee,Early Bird,NJ,16,Thee USA,N/A,N/A,Waterfall
11/26/2022 9:57:33,09/22/2001,65,Female,Coffee,Night Owl,MD,21,USA,N/A,N/A,Waterfall
11/26/2022 10:54:31,01/29/2004,60,Female,Coffee,Early Bird,NJ,18.75,USA,N/A,N/A,Waterfall
11/26/2022 11:26:34,04/18/2002,79,Male,Coffee,Night Owl,PA,20,Bucks County,N/A,N/A,Waterfall
11/26/2022 12:10:19,05/25/2002,64,Female,Coffee,Night Owl,MD,11,India,"NJ, PA",N/A,Airsip
11/26/2022 12:13:21,10/25/2002,69,Male,Tea,Night Owl,NJ,13.5,Camden,NY,6.5,Waterfall
11/26/2022 12:46:03,08/07/2000,60,Female,Tea,Night Owl,MD,0.16,USA,"NJ, PA","18 years, 4 years ",Waterfall
11/26/2022 13:55:08,12/21/2001,64,Female,Coffee,Night Owl,Md,20.9,Montgomery,N/a,N/a,Airsip
11/26/2022 14:14:00,02/10/2002,65,Female,Coffee,Night Owl,PA,4,camden,4 months,n/a,Waterfall
11/26/2022 14:26:26,12/24/2002,69,Male,Tea,Night Owl,MD,20,Montgomery county,N/A,N/A,I use waterfall and airship interchangeably
11/26/2022 14:38:47,05/06/2002,62,Female,Tea,Night Owl,MD,1.5,India,PA,16,Waterfall
11/26/2022 15:12:09,10/01/2004,62,Female,Coffee,Night Owl,NJ,14,USA,"KY, NC","2,2",Waterfall
11/26/2022 17:55:32,04/05/2006,69,Female,Coffee,Night Owl,NJ,11,"Wake county, NC ","NC, Perth (australia)","NC (1), Perth (4)",Waterfall
11/26/2022 19:32:10,12/26/2000,68.75,Female,Tea,Night Owl,MD,22,Baltimore County,N/A,N/A,Waterfall
12/4/2022 17:15:51,01/01/1900,10000,,Neither,Early Bird,Xx,999,Elephant,Bb,20000001,Blowjob
12/4/2022 17:18:43,06/05/1969,71.5,Male,Coffee,Early Bird,ID,20.5,Ada,"TX, CA, WI, MS, AZ","3, 25.5, 2, .75, 1",No term for this
12/4/2022 17:26:39,10/29/1974,65,Male,Coffee,Early Bird,IA,40,USA,N/A,N/A,Pourgnorgin
12/4/2022 17:28:59,08/21/1996,72,Male,Coffee,Night Owl,MT,7.2,Missoula,NJ,18,Waterfall
12/4/2022 17:30:40,11/24/2000,74,Male,Tea,Night Owl,Id,10.5,United States ,OR,12,Waterfall
12/4/2022 17:37:26,04/19/1993,71,Female,Tea,Night Owl,WA,4,Clark,IA,25,No term for this
12/4/2022 17:38:04,03/15/1955,68,Male,Neither,Early Bird,ID,40,Dona Ana County,"NM,CO,NV,UT",N/A,Chug
12/4/2022 17:38:16,12/01/1981,68,Female,Neither,Early Bird,ID,11,USA ,"MA, CT, CA, CO","4, 2, 18, 5",No term for this
12/4/2022 17:39:54,11/19/2001,74,Male,Coffee,Night Owl,ID,21,Ada,ID,21,Waterfall
12/4/2022 17:50:07,04/18/1959,70,Male,Coffee,Early Bird,IA,3,Polk,IN,33 years,No term for this
12/4/2022 17:56:12,09/22/1986,72,Male,Coffee,Early Bird,IA,35,Polk,IA,35,No term for this
12/4/2022 18:03:44,10/16/1997,69,Male,Coffee,Night Owl,IA,25.2,Polk,IA,25.2,Waterfall
12/4/2022 18:29:49,03/27/1997,66,Female,Coffee,Early Bird,OK,1.5,Montgomery,MD,23,No term for this
12/4/2022 18:53:53,01/20/1992,75,Male,Neither,Early Bird,IA,30,Linn,IA,30,No term for this
12/4/2022 20:46:12,04/06/2003,68,Female,Coffee,Early Bird,MD,19,Montgomery ,MD,Na,Airsip
12/6/2022 2:18:38,05/31/1999,72,Male,Tea,Night Owl,Ak,23,Fairbanks Northstar Borough ,AK,23,Waterfall
12/6/2022 2:49:52,05/16/2000,70,Male,Neither,Night Owl,UT,0.5,Converse,GA,12,Waterfall
12/6/2022 8:36:27,07/01/1992,64,Female,Coffee,Early Bird,AK,18,Anchorage (we don't have counties),AK,18,Waterfall
12/6/2022 9:59:14,11/27/1988,73,Male,Coffee,Night Owl,WY,34,United States,WY,34,Waterfall
12/6/2022 10:05:58,05/05/1992,68,Male,Coffee,Early Bird,AK,5.5,Teller,CO,25 yrs,Waterfall
12/6/2022 12:50:49,02/06/1992,68,Female,Coffee,Night Owl,AK,31,USA,Alaska,31,Waterfall
12/6/2022 13:39:16,04/13/1971,71,Male,Coffee,Early Bird,AK,20,Anchorage ,NC,30,Waterfall
12/6/2022 14:55:16,12/05/2007,70,Male,Coffee,Night Owl,AK,15,ANC ,N/A,N/A,Waterfall
12/6/2022 23:13:18,11/14/2003,72,Male,Tea,Night Owl,AZ,0.33,Tempe,VA,10,Waterfall
12/7/2022 22:25:38,06/13/2000,73,Male,Coffee,Night Owl,VA,22,Fairfax,VA,22,Waterfall
12/7/2022 22:27:08,04/21/2003,79,Male,Coffee,Night Owl,MD,14,Montgomery,MD,14,Airsip
12/7/2022 22:30:51,03/19/2004,62,Female,Tea,Night Owl,MD,18,Montgomery,MD,18,Airsip
12/7/2022 22:31:34,03/13/2002,69,Male,Coffee,Night Owl,MA,20,Bristol County,MA,20,Waterfall
12/7/2022 22:33:00,11/29/2002,66,Female,Tea,Night Owl,ME,20,Howard,MD,20,Waterfall
12/7/2022 22:40:28,08/10/2002,63,Female,Coffee,Night Owl,MD,20,Montgomery County,MD,20 years,Airsip
12/7/2022 22:42:43,09/15/2004,64,Female,Coffee,Night Owl,VA,18,Fairfax,VA,18,No term for this
12/7/2022 22:51:42,06/12/2002,61,Female,Neither,Early Bird,MD,20,Howard County,N/A,N/A,Waterfall
12/7/2022 23:05:09,10/08/2001,58,Male,Coffee,Night Owl,MD,21,Montgomery,MD,21,Airsip
12/8/2022 0:30:09,03/09/2001,63,Female,Coffee,Night Owl,MD,4,PG County,PA,20,Waterfall
12/8/2022 8:18:31,03/31/2002,701,Male,Coffee,Night Owl,PA,20,Chester County,N/A,N/A,Waterfall
12/8/2022 8:56:27,06/20/2002,66,Female,Neither,Early Bird,MD,20.5,Montgomery,N/A,N/A,Airsip
12/8/2022 12:23:23,07/24/2001,66,Female,Coffee,Early Bird,MD,4,N/A,VA,15 years,Waterfall
12/8/2022 13:45:00,08/21/2003,65,Male,Neither,Night Owl,MD,19.25,Montgomery County,MD,19.25,Airsip
12/8/2022 14:52:37,07/18/2001,59,Female,Tea,Night Owl,MD,21,Montgomery County,MD,21,Airsip
